County,Election Year,Election Type,Total Number of Votes Cast,Votes Cast By Vote By Mail Ballots,Percentage of Votes Cast By Vote By Mail Ballot
Atlantic,2025,General,101482,16279,16.0%
Bergen,2003,Primary,38370,942,2.5%
Bergen,2003,General,184545,5477,3.0%
Bergen,2004,Primary,44279,1169,2.6%
Bergen,2004,General,401845,23486,5.8%
Bergen,2005,Primary,50666,1257,2.5%
Bergen,2005,General,260672,8882,3.4%
Bergen,2006,Primary,50614,1733,3.4%
Bergen,2006,General,269002,10970,4.1%
Bergen,2007,Primary,39760,1696,4.3%
Bergen,2007,General,174247,6229,3.6%
Bergen,2008,Primary,171566,4550,2.7%
Bergen,2008,General,418459,26592,6.4%
Bergen,2009,Primary,50061,1609,3.2%
Bergen,2009,General,265223,12709,4.8%
Bergen,2010,Primary,46921,2039,4.3%
Bergen,2010,General,259321,11941,4.6%
Bergen,2011,Primary,24064,1853,7.7%
Bergen,2011,General,159458,8752,5.5%
Bergen,2012,Primary,61221,2760,4.5%
Bergen,2012,General,388425,28434,7.3%
Bergen,2013,Primary,36586,1711,4.7%
Bergen,2013,General,231974,11193,4.8%
Bergen,2014,Primary,35727,2212,6.2%
Bergen,2014,General,229128,11870,5.2%
Bergen,2015,Primary,25131,1747,7.0%
Bergen,2015,General,147415,9173,6.2%
Bergen,2016,Primary,138263,4290,3.1%
Bergen,2016,General,426567,30435,7.1%
Bergen,2017,Primary,69167,2680,3.9%
Bergen,2017,General,233459,13571,5.8%
Bergen,2018,Primary,70080,3216,4.6%
Bergen,2018,General,354222,35101,9.9%
Bergen,2019,Primary,37973,6544,17.2%
Bergen,2019,General,180489,20762,11.5%
Bergen,2020,Primary,142857,123760,86.6%
Bergen,2020,General,503114,471396,93.7%
Bergen,2021,Primary,63489,14068,22.2%
Bergen,2021,General,280134,49479,17.7%
Bergen,2022,Primary,69339,19645,28.3%
Bergen,2022,General,295800,49244,16.6%
Bergen,2023,Primary,47182,18194,38.6%
Bergen,2023,General,203786,41437,20.3%
Bergen,2024,Primary,89280,27372,30.7%
Bergen,2024,General,463837,78863,17.0%
Bergen,2025,Primary,124774,31186,25.0%
Bergen,2025,General,347825,58571,16.8%
Burlington,2003,Primary,17397,535,3.1%
Burlington,2003,General,86281,1758,2.0%
Burlington,2004,Primary,23292,660,2.8%
Burlington,2004,General,208540,10842,5.2%
Burlington,2005,Primary,30492,714,2.3%
Burlington,2005,General,129891,4056,3.1%
Burlington,2006,Primary,19550,535,2.7%
Burlington,2006,General,135009,4281,3.2%
Burlington,2007,Primary,11836,498,4.2%
Burlington,2007,General,90656,3756,4.1%
Burlington,2008,Primary,107545,1920,1.8%
Burlington,2008,General,224740,13235,5.9%
Burlington,2009,Primary,30406,950,3.1%
Burlington,2009,General,139030,6539,4.7%
Burlington,2010,Primary,28628,1306,4.6%
Burlington,2010,General,140412,6542,4.7%
Burlington,2011,Primary,18497,1347,7.3%
Burlington,2011,General,83629,5053,6.0%
Burlington,2012,Primary,27186,511,1.9%
Burlington,2012,General,217428,16238,7.5%
Burlington,2013,Primary,27805,1393,5.0%
Burlington,2013,General,129060,7836,6.1%
Burlington,2014,Primary,27538,1838,6.7%
Burlington,2014,General,122528,9327,7.6%
Burlington,2015,Primary,11839,1836,15.5%
Burlington,2015,General,66900,6727,10.1%
Burlington,2016,Primary,82597,3992,4.8%
Burlington,2016,General,224614,20931,9.3%
Burlington,2017,Primary,44528,1071,2.4%
Burlington,2017,General,126478,10487,8.3%
Burlington,2018,Primary,38898,928,2.4%
Burlington,2018,General,191736,25997,13.6%
Burlington,2019,Primary,28366,7333,25.9%
Burlington,2019,General,98420,17005,17.3%
Burlington,2020,Primary,96807,85454,88.3%
Burlington,2020,General,267122,251738,94.2%
Burlington,2021,Primary,48083,14889,31.0%
Burlington,2021,General,157448,35815,22.7%
Burlington,2022,Primary,52830,19774,37.4%
Burlington,2022,General,167067,36711,22.0%
Burlington,2023,Primary,33156,16135,48.7%
Burlington,2023,General,105131,28928,27.5%
Burlington,2024,Primary,64230,22508,35.0%
Burlington,2024,General,231573,48118,20.8%
Burlington,2025,Primary,77185,24298,31.5%
Burlington,2025,General,194535,43522,22.4%
Camden,2003,Primary,17357,540,3.1%
Camden,2003,General,99941,1943,1.9%
Camden,2004,Primary,18607,866,4.7%
Camden,2004,General,223394,10288,4.6%
Camden,2005,Primary,26657,721,2.7%
Camden,2005,General,131218,5880,4.5%
Camden,2006,Primary,16119,914,5.7%
Camden,2006,General,136940,5211,3.8%
Camden,2007,Primary,13869,817,5.9%
Camden,2007,General,86401,3279,3.8%
Camden,2008,Primary,116769,1995,1.7%
Camden,2008,General,240598,17520,7.3%
Camden,2009,Primary,27298,1077,3.9%
Camden,2009,General,135927,8666,6.4%
Camden,2010,Primary,20610,1780,8.6%
Camden,2010,General,134393,8325,6.2%
Camden,2011,Primary,18634,1843,9.9%
Camden,2011,General,85463,7755,9.1%
Camden,2012,Primary,25897,2409,9.3%
Camden,2012,General,227155,16525,7.3%
Camden,2013,Primary,23589,2409,10.2%
Camden,2013,General,122450,13672,11.2%
Camden,2014,Primary,25484,8546,33.5%
Camden,2014,General,116043,17443,15.0%
Camden,2015,Primary,18047,9967,55.2%
Camden,2015,General,68654,16607,24.2%
Camden,2016,Primary,92070,20200,21.9%
Camden,2016,General,231479,39712,17.2%
Camden,2017,Primary,51640,14023,27.2%
Camden,2017,General,123458,25864,20.9%
Camden,2018,Primary,46617,17329,37.2%
Camden,2018,General,187554,41536,22.1%
Camden,2019,Primary,42061,21161,50.3%
Camden,2019,General,95938,32920,34.3%
Camden,2020,Primary,93489,78496,84.0%
Camden,2020,General,273555,251088,91.8%
Camden,2021,Primary,55045,31093,56.5%
Camden,2021,General,151438,68783,45.4%
Camden,2022,Primary,56810,40042,70.5%
Camden,2022,General,148666,68349,46.0%
Camden,2023,Primary,46014,33967,73.8%
Camden,2023,General,106677,57732,54.1%
Camden,2024,Primary,64650,45444,70.3%
Camden,2024,General,252220,87825,34.8%
Camden,2025,Primary,84363,47464,56.3%
Camden,2025,General,194392,75268,38.7%
Cape May,2003,Primary,5558,250,4.5%
Cape May,2003,General,28335,1425,5.0%
Cape May,2004,Primary,7312,431,5.9%
Cape May,2004,General,51163,4379,8.6%
Cape May,2005,Primary,11629,358,3.1%
Cape May,2005,General,34717,2114,6.1%
Cape May,2006,Primary,6722,283,4.2%
Cape May,2006,General,35357,1780,5.0%
Cape May,2007,Primary,4727,276,5.8%
Cape May,2007,General,29614,1991,6.7%
Cape May,2008,Primary,24193,1428,5.9%
Cape May,2008,General,51282,4821,9.4%
Cape May,2009,Primary,10258,422,4.1%
Cape May,2009,General,35502,3294,9.3%
Cape May,2010,Primary,12271,782,6.4%
Cape May,2010,General,30431,2878,9.5%
Cape May,2011,Primary,6908,676,9.8%
Cape May,2011,General,25918,2569,9.9%
Cape May,2012,Primary,8996,777,8.6%
Cape May,2012,General,48400,5790,12.0%
Cape May,2013,Primary,8123,677,8.3%
Cape May,2013,General,34014,3254,9.6%
Cape May,2014,Primary,5865,723,12.3%
Cape May,2014,General,31034,3018,9.7%
Cape May,2015,Primary,4469,634,14.2%
Cape May,2015,General,21197,2556,12.1%
Cape May,2016,Primary,18666,1288,6.9%
Cape May,2016,General,49939,6154,12.3%
Cape May,2017,Primary,9758,765,7.8%
Cape May,2017,General,31172,3329,10.7%
Cape May,2018,Primary,10956,828,7.6%
Cape May,2018,General,42143,6226,14.8%
Cape May,2019,Primary,5999,1659,27.7%
Cape May,2019,General,31001,5319,17.2%
Cape May,2020,Primary,22710,20360,89.7%
Cape May,2020,General,58693,56397,96.1%
Cape May,2021,Primary,12843,3495,27.2%
Cape May,2021,General,39125,8042,20.6%
Cape May,2022,Primary,13143,4101,31.2%
Cape May,2022,General,38333,7939,20.7%
Cape May,2023,Primary,8238,3293,40.0%
Cape May,2023,General,26558,5905,22.2%
Cape May,2024,Primary,16226,4703,29.0%
Cape May,2024,General,55204,10723,19.4%
Cape May,2025,Primary,18379,4836,26.3%
Cape May,2025,General,44551,8506,19.1%
Cumberland,2003,Primary,3695,0,0.0%
Cumberland,2003,General,26921,551,2.0%
Cumberland,2004,Primary,4464,90,2.0%
Cumberland,2004,General,53375,984,1.8%
Cumberland,2005,Primary,6042,200,3.3%
Cumberland,2005,General,33360,1307,3.9%
Cumberland,2006,Primary,3761,245,6.5%
Cumberland,2006,General,32085,967,3.0%
Cumberland,2007,Primary,3122,163,5.2%
Cumberland,2007,General,26783,1116,4.2%
Cumberland,2008,Primary,23752,391,1.6%
Cumberland,2008,General,58667,3315,5.7%
Cumberland,2009,Primary,6585,298,4.5%
Cumberland,2009,General,34362,2422,7.0%
Cumberland,2010,Primary,4691,184,3.9%
Cumberland,2010,General,29990,1617,5.4%
Cumberland,2011,Primary,3009,149,5.0%
Cumberland,2011,General,24523,1881,7.7%
Cumberland,2012,Primary,5535,187,3.4%
Cumberland,2012,General,55875,4167,7.5%
Cumberland,2013,Primary,5669,136,2.4%
Cumberland,2013,General,32572,2314,7.1%
Cumberland,2014,Primary,4727,142,3.0%
Cumberland,2014,General,29552,2245,7.6%
Cumberland,2015,Primary,2403,134,5.6%
Cumberland,2015,General,19803,1923,9.7%
Cumberland,2016,Primary,17204,561,3.3%
Cumberland,2016,General,55064,3989,7.2%
Cumberland,2017,Primary,7251,141,1.9%
Cumberland,2017,General,29406,2469,8.4%
Cumberland,2018,Primary,8250,240,2.9%
Cumberland,2018,General,42039,5588,13.3%
Cumberland,2019,Primary,5735,1722,30.0%
Cumberland,2019,General,25127,4481,17.8%
Cumberland,2020,Primary,21787,19055,87.5%
Cumberland,2020,General,63579,59177,93.1%
Cumberland,2021,Primary,14038,6028,42.9%
Cumberland,2021,General,32343,7552,23.3%
Cumberland,2022,Primary,10173,4180,41.1%
Cumberland,2022,General,31739,8394,26.4%
Cumberland,2023,Primary,8251,4261,51.6%
Cumberland,2023,General,22975,7302,31.8%
Cumberland,2024,Primary,11614,5586,48.1%
Cumberland,2024,General,56462,12553,22.2%
Cumberland,2025,Primary,15852,5893,37.2%
Cumberland,2025,General,41264,10085,24.4%
Essex,2003,Primary,42580,730,1.7%
Essex,2003,General,81643,1359,1.7%
Essex,2004,Primary,37949,768,2.0%
Essex,2004,General,290505,10811,3.7%
Essex,2005,Primary,47466,731,1.5%
Essex,2005,General,182532,5606,3.1%
Essex,2006,Primary,33817,639,1.9%
Essex,2006,General,174445,4872,2.8%
Essex,2007,Primary,42271,1182,2.8%
Essex,2007,General,92686,2634,2.8%
Essex,2008,Primary,152680,2605,1.7%
Essex,2008,General,319905,13670,4.3%
Essex,2009,Primary,42463,991,2.3%
Essex,2009,General,183335,8104,4.4%
Essex,2010,Primary,29452,1204,4.1%
Essex,2010,General,160521,5695,3.5%
Essex,2011,Primary,35375,1426,4.0%
Essex,2011,General,84515,4541,5.4%
Essex,2012,Primary,68210,1570,2.3%
Essex,2012,General,307353,15826,5.1%
Essex,2013,Primary,43452,1371,3.2%
Essex,2013,General,158458,6897,4.4%
Essex,2014,Primary,28814,1351,4.7%
Essex,2014,General,144192,5886,4.1%
Essex,2015,Primary,20101,1038,5.2%
Essex,2015,General,60326,3946,6.5%
Essex,2016,Primary,124175,2672,2.2%
Essex,2016,General,316111,16087,5.1%
Essex,2017,Primary,73166,839,1.1%
Essex,2017,General,165051,6880,4.2%
Essex,2018,Primary,59743,2892,4.8%
Essex,2018,General,260222,22787,8.8%
Essex,2019,Primary,30365,3742,12.3%
Essex,2019,General,91026,11081,12.2%
Essex,2020,Primary,117134,103949,88.7%
Essex,2020,General,351931,314804,89.5%
Essex,2021,Primary,48059,9952,20.7%
Essex,2021,General,180547,36307,20.1%
Essex,2022,Primary,48239,16604,34.4%
Essex,2022,General,180172,36610,20.3%
Essex,2023,Primary,41586,14739,35.4%
Essex,2023,General,98759,24463,24.8%
Essex,2024,Primary,62800,18723,29.8%
Essex,2024,General,315739,49357,15.6%
Essex,2025,Primary,108015,23989,22.2%
Essex,2025,General,246754,40060,16.2%
Gloucester,2003,Primary,9897,658,6.6%
Gloucester,2003,General,62675,2178,3.5%
Gloucester,2004,Primary,20164,951,4.7%
Gloucester,2004,General,128590,7033,5.5%
Gloucester,2005,Primary,17378,791,4.6%
Gloucester,2005,General,78609,3947,5.0%
Gloucester,2006,Primary,16551,999,6.0%
Gloucester,2006,General,83175,3683,4.4%
Gloucester,2007,Primary,8802,557,6.3%
Gloucester,2007,General,58555,3523,6.0%
Gloucester,2008,Primary,62880,1272,2.0%
Gloucester,2008,General,140795,12157,8.6%
Gloucester,2009,Primary,15349,657,4.3%
Gloucester,2009,General,85698,7324,8.5%
Gloucester,2010,Primary,14095,1422,10.1%
Gloucester,2010,General,81346,6864,8.4%
Gloucester,2011,Primary,10793,1258,11.7%
Gloucester,2011,General,61360,6330,10.3%
Gloucester,2012,Primary,17281,1829,10.6%
Gloucester,2012,General,136232,14038,10.3%
Gloucester,2013,Primary,12874,1318,10.2%
Gloucester,2013,General,80811,7658,9.5%
Gloucester,2014,Primary,16935,2229,13.2%
Gloucester,2014,General,74756,8350,11.2%
Gloucester,2015,Primary,6961,1146,16.5%
Gloucester,2015,General,47789,6586,13.8%
Gloucester,2016,Primary,49321,3679,7.5%
Gloucester,2016,General,142617,16927,11.9%
Gloucester,2017,Primary,23090,4076,17.7%
Gloucester,2017,General,79138,10417,13.2%
Gloucester,2018,Primary,24510,5169,21.1%
Gloucester,2018,General,116022,17314,14.9%
Gloucester,2019,Primary,12647,6056,47.9%
Gloucester,2019,General,57322,12166,21.2%
Gloucester,2020,Primary,56914,53847,94.6%
Gloucester,2020,General,175674,170668,97.2%
Gloucester,2021,Primary,28142,9544,33.9%
Gloucester,2021,General,101611,22939,22.6%
Gloucester,2022,Primary,28903,12460,43.1%
Gloucester,2022,General,102192,24241,23.7%
Gloucester,2023,Primary,29302,12673,43.2%
Gloucester,2023,General,78786,22855,29.0%
Gloucester,2024,Primary,34446,15823,45.9%
Gloucester,2024,General,166287,33838,20.3%
Gloucester,2025,Primary,52105,17930,34.4%
Gloucester,2025,General,130251,28390,21.8%
Hudson,2003,Primary,53444,967,1.8%
Hudson,2003,General,74841,1511,2.0%
Hudson,2004,Primary,50503,891,1.8%
Hudson,2004,General,192176,5779,3.0%
Hudson,2005,Primary,50062,1309,2.6%
Hudson,2005,General,117651,4198,3.6%
Hudson,2006,Primary,40454,891,2.2%
Hudson,2006,General,120055,3680,3.1%
Hudson,2007,Primary,66387,1364,2.1%
Hudson,2007,General,59913,1988,3.3%
Hudson,2008,Primary,106452,1166,1.1%
Hudson,2008,General,212869,7478,3.5%
Hudson,2009,Primary,34423,847,2.5%
Hudson,2009,General,120017,6455,5.4%
Hudson,2010,Primary,25474,947,3.7%
Hudson,2010,General,96134,2527,2.6%
Hudson,2011,Primary,44261,1169,2.6%
Hudson,2011,General,64668,2800,4.3%
Hudson,2012,Primary,36893,621,1.7%
Hudson,2012,General,199061,6903,3.5%
Hudson,2013,Primary,42422,846,2.0%
Hudson,2013,General,105968,4393,4.1%
Hudson,2014,Primary,36065,1072,3.0%
Hudson,2014,General,92359,3671,4.0%
Hudson,2015,Primary,24400,670,2.7%
Hudson,2015,General,50756,2916,5.7%
Hudson,2016,Primary,87981,1262,1.4%
Hudson,2016,General,223869,9830,4.4%
Hudson,2017,Primary,59160,631,1.1%
Hudson,2017,General,118774,5491,4.6%
Hudson,2018,Primary,43758,1311,3.0%
Hudson,2018,General,176880,9948,5.6%
Hudson,2019,Primary,29507,2072,7.0%
Hudson,2019,General,81299,7329,9.0%
Hudson,2020,Primary,81517,67582,82.9%
Hudson,2020,General,254866,217179,85.2%
Hudson,2021,Primary,40791,5555,13.6%
Hudson,2021,General,126546,21569,17.0%
Hudson,2022,Primary,37644,9007,23.9%
Hudson,2022,General,117055,17398,14.9%
Hudson,2023,Primary,46988,10627,22.6%
Hudson,2023,General,71608,13875,19.4%
Hudson,2024,Primary,55113,12368,22.4%
Hudson,2024,General,234440,25787,11.0%
Hudson,2025,Primary,85797,13105,15.3%
Hudson,2025,General,175785,20451,11.6%
Hunterdon,2003,Primary,11473,216,1.9%
Hunterdon,2003,General,27145,706,2.6%
Hunterdon,2004,Primary,9545,236,2.5%
Hunterdon,2004,General,66522,4207,6.3%
Hunterdon,2005,Primary,16035,339,2.1%
Hunterdon,2005,General,45734,1902,4.2%
Hunterdon,2006,Primary,12218,328,2.7%
Hunterdon,2006,General,45214,2068,4.6%
Hunterdon,2007,Primary,8845,260,2.9%
Hunterdon,2007,General,31681,1109,3.5%
Hunterdon,2008,Primary,31394,1023,3.3%
Hunterdon,2008,General,70409,6059,8.6%
Hunterdon,2009,Primary,16393,463,2.8%
Hunterdon,2009,General,51372,3269,6.4%
Hunterdon,2010,Primary,16183,751,4.6%
Hunterdon,2010,General,42683,2679,6.3%
Hunterdon,2011,Primary,7063,614,8.7%
Hunterdon,2011,General,24513,1803,7.4%
Hunterdon,2012,Primary,13026,795,6.1%
Hunterdon,2012,General,66953,8303,12.4%
Hunterdon,2013,Primary,10186,680,6.7%
Hunterdon,2013,General,43397,3005,6.9%
Hunterdon,2014,Primary,11765,901,7.7%
Hunterdon,2014,General,38330,3379,8.8%
Hunterdon,2015,Primary,6535,706,10.8%
Hunterdon,2015,General,22076,1979,9.0%
Hunterdon,2016,Primary,28654,1707,6.0%
Hunterdon,2016,General,72709,8934,12.3%
Hunterdon,2017,Primary,17562,1027,5.8%
Hunterdon,2017,General,46246,3699,8.0%
Hunterdon,2018,Primary,17242,1267,7.3%
Hunterdon,2018,General,64285,10705,16.7%
Hunterdon,2019,Primary,9457,2413,25.5%
Hunterdon,2019,General,36743,6793,18.5%
Hunterdon,2020,Primary,31943,30678,96.0%
Hunterdon,2020,General,85107,83718,98.4%
Hunterdon,2021,Primary,19111,5148,26.9%
Hunterdon,2021,General,57364,11941,20.8%
Hunterdon,2022,Primary,21028,6580,31.3%
Hunterdon,2022,General,61059,13189,21.6%
Hunterdon,2023,Primary,12758,5202,40.8%
Hunterdon,2023,General,40313,10300,25.6%
Hunterdon,2024,Primary,19311,6770,35.1%
Hunterdon,2024,General,81841,18663,22.8%
Hunterdon,2025,Primary,27701,7740,27.9%
Hunterdon,2025,General,67381,14030,20.8%
Mercer,2003,Primary,13938,244,1.8%
Mercer,2003,General,76828,1877,2.4%
Mercer,2004,Primary,12678,360,2.8%
Mercer,2004,General,152941,7125,4.7%
Mercer,2005,Primary,15774,265,1.7%
Mercer,2005,General,102207,4242,4.2%
Mercer,2006,Primary,11352,241,2.1%
Mercer,2006,General,95214,3016,3.2%
Mercer,2007,Primary,9514,257,2.7%
Mercer,2007,General,72755,2543,3.5%
Mercer,2008,Primary,75761,1622,2.1%
Mercer,2008,General,161902,9803,6.1%
Mercer,2009,Primary,16789,704,4.2%
Mercer,2009,General,102361,6778,6.6%
Mercer,2010,Primary,16032,744,4.6%
Mercer,2010,General,98629,5821,5.9%
Mercer,2011,Primary,9573,282,2.9%
Mercer,2011,General,68372,4441,6.5%
Mercer,2012,Primary,19147,414,2.2%
Mercer,2012,General,155863,12585,8.1%
Mercer,2013,Primary,13752,172,1.3%
Mercer,2013,General,96240,6389,6.6%
Mercer,2014,Primary,23003,541,2.4%
Mercer,2014,General,82615,5211,6.3%
Mercer,2015,Primary,9870,219,2.2%
Mercer,2015,General,53051,4085,7.7%
Mercer,2016,Primary,58195,1444,2.5%
Mercer,2016,General,159738,14361,9.0%
Mercer,2017,Primary,31711,254,0.8%
Mercer,2017,General,94219,9067,9.6%
Mercer,2018,Primary,26233,409,1.6%
Mercer,2018,General,129707,17383,13.4%
Mercer,2019,Primary,20691,5252,25.4%
Mercer,2019,General,70528,12528,17.8%
Mercer,2020,Primary,61160,51775,84.7%
Mercer,2020,General,180909,168763,93.3%
Mercer,2021,Primary,28216,8938,31.7%
Mercer,2021,General,102576,32372,31.6%
Mercer,2022,Primary,28427,13822,48.6%
Mercer,2022,General,100140,25512,25.5%
Mercer,2023,Primary,21912,11495,52.5%
Mercer,2023,General,71914,23128,32.2%
Mercer,2024,Primary,35187,15401,43.8%
Mercer,2024,General,165154,43884,26.6%
Mercer,2025,Primary,48817,17338,35.5%
Mercer,2025,General,129526,33321,25.7%
Middlesex,2003,Primary,28105,668,2.4%
Middlesex,2003,General,127787,3569,2.8%
Middlesex,2004,Primary,22395,770,3.4%
Middlesex,2004,General,297315,14852,5.0%
Middlesex,2005,Primary,44321,1128,2.5%
Middlesex,2005,General,194897,8507,4.4%
Middlesex,2006,Primary,24269,1009,4.2%
Middlesex,2006,General,181339,6317,3.5%
Middlesex,2007,Primary,32110,1347,4.2%
Middlesex,2007,General,123623,4137,3.3%
Middlesex,2008,Primary,136785,2876,2.1%
Middlesex,2008,General,323675,17389,5.4%
Middlesex,2009,Primary,49833,2006,4.0%
Middlesex,2009,General,200406,11437,5.7%
Middlesex,2010,Primary,27545,1838,6.7%
Middlesex,2010,General,174368,7941,4.6%
Middlesex,2011,Primary,25012,878,3.5%
Middlesex,2011,General,116625,5912,5.1%
Middlesex,2012,Primary,33434,717,2.1%
Middlesex,2012,General,304018,18949,6.2%
Middlesex,2013,Primary,32885,2057,6.3%
Middlesex,2013,General,177443,11448,6.5%
Middlesex,2014,Primary,28683,3887,13.6%
Middlesex,2014,General,146178,13032,8.9%
Middlesex,2015,Primary,21084,1807,8.6%
Middlesex,2015,General,100008,12522,12.5%
Middlesex,2016,Primary,106508,2189,2.1%
Middlesex,2016,General,332515,37802,11.4%
Middlesex,2017,Primary,63847,1821,2.9%
Middlesex,2017,General,180239,22359,12.4%
Middlesex,2018,Primary,44825,740,1.7%
Middlesex,2018,General,260919,39089,15.0%
Middlesex,2019,Primary,46080,11957,25.9%
Middlesex,2019,General,129619,28126,21.7%
Middlesex,2020,Primary,112429,97502,86.7%
Middlesex,2020,General,382030,347044,90.8%
Middlesex,2021,Primary,64353,29312,45.5%
Middlesex,2021,General,211316,75145,35.6%
Middlesex,2022,Primary,55803,29722,53.3%
Middlesex,2022,General,207780,74216,35.7%
Middlesex,2023,Primary,56466,31363,55.5%
Middlesex,2023,General,140580,62367,44.4%
Middlesex,2024,Primary,78464,39011,49.7%
Middlesex,2024,General,369365,109211,29.6%
Middlesex,2025,Primary,109007,45045,41.3%
Middlesex,2025,General,281401,88524,31.5%
Monmouth,2003,Primary,24516,0,0.0%
Monmouth,2003,General,130358,0,0.0%
Monmouth,2004,Primary,28165,0,0.0%
Monmouth,2004,General,301300,0,0.0%
Monmouth,2005,Primary,39515,0,0.0%
Monmouth,2005,General,197024,8731,4.4%
Monmouth,2006,Primary,23788,0,0.0%
Monmouth,2006,General,186696,8727,4.7%
Monmouth,2007,Primary,16723,0,0.0%
Monmouth,2007,General,138769,0,0.0%
Monmouth,2008,Primary,126300,3327,2.6%
Monmouth,2008,General,317102,24779,7.8%
Monmouth,2009,Primary,39716,1258,3.2%
Monmouth,2009,General,208594,12723,6.1%
Monmouth,2010,Primary,32917,835,2.5%
Monmouth,2010,General,183682,10558,5.7%
Monmouth,2011,Primary,13365,516,3.9%
Monmouth,2011,General,111439,13373,12.0%
Monmouth,2012,Primary,35861,771,2.1%
Monmouth,2012,General,291866,26481,9.1%
Monmouth,2013,Primary,27943,708,2.5%
Monmouth,2013,General,177241,11400,6.4%
Monmouth,2014,Primary,19118,396,2.1%
Monmouth,2014,General,156069,10150,6.5%
Monmouth,2015,Primary,12108,516,4.3%
Monmouth,2015,General,95570,7933,8.3%
Monmouth,2016,Primary,99206,2504,2.5%
Monmouth,2016,General,323918,31714,9.8%
Monmouth,2017,Primary,52272,683,1.3%
Monmouth,2017,General,187310,12480,6.7%
Monmouth,2018,Primary,49286,943,1.9%
Monmouth,2018,General,267504,27936,10.4%
Monmouth,2019,Primary,25067,5370,21.4%
Monmouth,2019,General,133646,17888,13.4%
Monmouth,2020,Primary,103267,86962,84.2%
Monmouth,2020,General,384251,372841,97.0%
Monmouth,2021,Primary,54982,11996,21.8%
Monmouth,2021,General,241399,38768,16.1%
Monmouth,2022,Primary,60007,15723,26.2%
Monmouth,2022,General,232498,36610,15.7%
Monmouth,2023,Primary,34408,12772,37.1%
Monmouth,2023,General,157413,30852,19.6%
Monmouth,2024,Primary,65792,18910,28.7%
Monmouth,2024,General,363680,55233,15.2%
Monmouth,2025,Primary,100513,21042,20.9%
Monmouth,2025,General,289119,42471,14.7%
Morris,2003,Primary,34087,848,2.5%
Morris,2003,General,84368,1873,2.2%
Morris,2004,Primary,28120,750,2.7%
Morris,2004,General,235920,14770,6.3%
Morris,2005,Primary,51044,1130,2.2%
Morris,2005,General,152595,4755,3.1%
Morris,2006,Primary,35122,887,2.5%
Morris,2006,General,153260,5426,3.5%
Morris,2007,Primary,33634,1010,3.0%
Morris,2007,General,99176,3060,3.1%
Morris,2008,Primary,109697,3135,2.9%
Morris,2008,General,248306,17536,7.1%
Morris,2009,Primary,52240,1232,2.4%
Morris,2009,General,166516,8144,4.9%
Morris,2010,Primary,44000,1354,3.1%
Morris,2010,General,134551,6348,4.7%
Morris,2011,Primary,36965,1579,4.3%
Morris,2011,General,81207,4353,5.4%
Morris,2012,Primary,40479,942,2.3%
Morris,2012,General,228737,19446,8.5%
Morris,2013,Primary,37713,1468,3.9%
Morris,2013,General,143745,7696,5.4%
Morris,2014,Primary,27328,271,1.0%
Morris,2014,General,119794,6486,5.4%
Morris,2015,Primary,29125,756,2.6%
Morris,2015,General,62952,4478,7.1%
Morris,2016,Primary,97961,2831,2.9%
Morris,2016,General,256517,22350,8.7%
Morris,2017,Primary,58313,1110,1.9%
